eco2_mean;eco2_std;eco2_min;eco2_max;eco2_skew;eco2_kurt;eco2_iqr;eco2_range;mq135_mean;mq135_std;mq135_min;mq135_max;mq135_skew;mq135_kurt;mq135_iqr;mq135_range;mq3_mean;mq3_std;mq3_min;mq3_max;mq3_skew;mq3_kurt;mq3_iqr;mq3_range;mq4_mean;mq4_std;mq4_min;mq4_max;mq4_skew;mq4_kurt;mq4_iqr;mq4_range;tvoc_mean;tvoc_std;tvoc_min;tvoc_max;tvoc_skew;tvoc_kurt;tvoc_iqr;tvoc_range;label
523,0833;93,6919;400;744;0,4118;-0,921;156,25;344;950,2833;45,5826;863;1051;-0,199;-0,5086;65,25;188;886,8;196,2329;556;1478;0,7474;0,5062;202,5;922;2,4167;1,1873;1;5;0,2283;-1,2651;2,25;4;53,65;31,7148;0;123;0,3908;-0,7855;46;123;bozuk
526,55;96,8641;400;744;0,397;-0,9825;158,25;344;952,6833;44,9739;863;1051;-0,2223;-0,4683;65;188;886,6333;196,3235;556;1478;0,7481;0,5028;202,5;922;2,4333;1,1743;1;5;0,222;-1,2355;2,25;4;55,15;33,1305;0;130;0,412;-0,7577;49,25;130;bozuk
529,4;96,2598;400;744;0,3425;-0,9966;156,5;344;954,4833;43,4851;863;1051;-0,2227;-0,3777;59,75;188;884,85;198,7093;556;1478;0,6998;0,451;202,5;922;2,45;1,1892;1;5;0,208;-1,2859;3;4;56,25;33,8952;0;130;0,3663;-0,8754;50,5;130;bozuk
530,1;96,0796;400;744;0,3243;-0,9922;156,5;344;956,05;41,8973;863;1051;-0,1988;-0,2825;58,5;188;884,1833;199,4611;556;1478;0,6892;0,4277;202,5;922;2,45;1,1892;1;5;0,208;-1,2859;3;4;56,9167;34,1386;0;130;0,3148;-0,9481;53,5;130;bozuk
529,2167;95,6941;400;744;0,35;-0,9514;156,5;344;957,9333;41,0576;863;1051;-0,237;-0,1853;55,25;188;886,0833;197,2761;556;1478;0,7226;0,4912;202,5;922;2,45;1,1892;1;5;0,208;-1,2859;3;4;56,9333;34,1481;0;130;0,3136;-0,9507;53,5;130;bozuk
528,2833;94,4646;400;744;0,3409;-0,9255;156,5;344;959,8167;41,4059;863;1051;-0,277;-0,1691;53,5;188;890,6;194,4665;556;1478;0,7223;0,5777;199,25;922;2,4667;1,2037;1;5;0,193;-1,3338;3;4;56,6333;33,8107;0;130;0,3153;-0,9104;52,75;130;bozuk
527,7167;94,098;400;744;0,3553;-0,8916;150,75;344;962,3333;40,9429;863;1051;-0,2578;-0,1281;52,25;188;894,3;190,3231;556;1478;0,7922;0,696;193,25;922;2,45;1,2169;1;5;0,1996;-1,3603;3;4;56,15;33,276;0;130;0,3181;-0,8468;50,5;130;bozuk
527,9;94,3095;400;744;0,3548;-0,9012;150,75;344;963,9;40,7851;863;1051;-0,3243;-0,0592;53;188;894,7;189,9265;556;1478;0,7971;0,712;193,25;922;2,5;1,2179;1;5;0,1384;-1,3885;3;4;55,85;32,8496;0;130;0,3016;-0,8322;50,5;130;bozuk
529,15;96,3547;400;744;0,3986;-0,86;150,75;344;963,1;41,1269;863;1051;-0,2756;-0,1615;56,75;188;898,7833;185,175;568;1478;0,8937;0,8407;191,25;910;2,4667;1,2037;1;5;0,193;-1,3338;3;4;55,7833;32,7272;0;130;0,2905;-0,8479;50,5;130;bozuk
532,2667;98,6179;400;744;0,3563;-0,9675;157,25;344;963,4667;41,2579;863;1051;-0,2955;-0,1847;56,75;188;899,15;184,5582;568;1478;0,9137;0,8471;191,25;910;2,4833;1,2178;1;5;0,1772;-1,3793;3;4;55,9833;33,0623;0;130;0,3144;-0,8276;50,5;130;bozuk
536,3333;102,6073;400;755;0,368;-0,9634;168,25;355;963,8;41,6549;863;1051;-0,2768;-0,226;56,75;188;901,2667;182,6942;568;1478;0,9354;0,9259;187,5;910;2,5167;1,204;1;5;0,1327;-1,361;3;4;56,7667;34,2293;0;130;0,375;-0,7886;51,25;130;bozuk
538,6;105,2578;400;755;0,373;-1,0176;178;355;962,9833;41,1199;863;1051;-0,2603;-0,142;53,75;188;903,2;182,045;568;1478;0,9182;0,9395;177,25;910;2,5333;1,1898;1;5;0,1287;-1,3328;2,25;4;57,5;35,4681;0;138;0,456;-0,6836;51,25;138;bozuk
